word,folio
oy9,['72v2.2nd_ring']
oy9,['73r.2nd_ring']
oy9,['75v.label_text_2']
oy9,['rose.seast_center_7']
oy9,['rose.north_center']
oy9,['88r.labels_middle']
oy9,['88r.1']
oy9,['88v.labels_middle']
oy9,['89r2.labels_top']
oy9,['101r1-r2.8']
oy9,['102v2.labels_top_1']
yom,['89r2.labels_middle']
yoa,['rose.center_ring_2']
an9,['67r1.3rd_ring']
an9,['72r1.2nd_ring']
an9,['72r1.4th_ring']
an9,['75r.center_text']
oham,['67r1.outer_ring']
oham,['68v3.outer_ring']
oham,['71v.center_ring']
oham,['72r1.3rd_ring']
oham,['72r2.center_ring']
oham,['72r3.2nd_ring']
oham,['72v2.4th_ring']
oham,['83v.label_bottom_2']
oham,['86v3.north_1']
oham,['86v3.west_2']
oham,['rose.center_ring_1']
oham,['88r.10']
oham,['88v.labels_middle']
oham,['89r1.labels_middle']
9hay,['67r1.outer_ring']
9hay,['67r2.red_outer_ring']
9hay,['67v2.outer_ring_east_2']
9hay,['69v.outer_ring']
9hay,['69v.2nd_ring']
9hay,['rose.east_ring']
9hay,['rose.neast_center_2']
9hay,['88r.13']
9hay,['89v2.labels_middle']
oyan,['72r3.outer_ring']
oyan,['85r2.quad_4_1']
oyan,['89r1.labels_middle']
oyan,['89r2.labels_middle_2']
oyan,['89r2.labels_bottom']
haT9,['70v2.2nd_ring']
han,['67r2.2nd_ring_3']
han,['67r2.2nd_ring_6']
han,['70v2.outer_ring']
han,['77v.labels_top_1']
han,['82v.labels_bottom_1']
han,['86v3.west_5']
han,['rose.north_ring']
han,['89r2.labels_bottom']
ha9,['69v.2nd_ring']
ohay9,['72v3.4th_ring']
ohay9,['rose.seast_ring']
ohay9,['99r.labels_top_1']
am9,['67v1.outer_ring']
am9,['69v.2nd_ring']
am9,['73v.2nd_ring']
am9,['rose.north_center']
hoa,['67v2.outer_ring_east_2']
hoa,['67v2.radial_west']
hoa,['68r1.labels_2']
hoa,['68r2.sun']
hoa,['72r3.3rd_ring']
hoa,['rose.west_ring']
hoa,['88r.6']
amo,['72v1.2nd_ring']
amo,['rose.west_center']
hoya,['67v2.center_2']
hoya,['89r2.labels_middle_2']
hoya,['101v2-v1.1']
oyam,['72r3.center_ring']
oyam,['72v2.outer_ring']
oyam,['72v2.4th_ring']
oyam,['73v.2nd_ring']
oyam,['85r2.quad_2_3']
oyam,['86v4.2nd_ring']
oyam,['rose.east_center_2']
oyam,['101v2-v1.1']
oyam,['102v2.labels_middle']
hoy9,['72v3.outer_ring']
hoy9,['rose.north_center']
ayoh,['67v1.center_11']
hoy,['67r2.2nd_ring_6']
hoy,['67v2.outer_ring_north_2']
hoy,['67v2.center_2']
hoy,['67v1.center_12']
hoy,['68v1.outer_ring']
hoy,['72r3.outer_ring']
hoy,['72v3.outer_ring']
hoy,['rose.nwest_ring']
hoy,['rose.seast_center_5']
hoy,['rose.neast_labels_5']
